model,students,probability,time
IEPModel,709,0,2.11325ms
IEPModel,710,0,3.502959ms
IEPModel,711,0,4.818375ms
IEPModel,712,0,4.2845ms
IEPModel,713,0,2.16ms
IEPModel,714,0,2.154792ms
IEPModel,715,0,2.208416ms
IEPModel,716,0,2.237833ms
IEPModel,717,0,2.169167ms
IEPModel,718,0,2.196291ms
IEPModel,719,0,2.212042ms
IEPModel,720,0,2.238708ms
IEPModel,721,0,2.27875ms
IEPModel,722,0,2.241084ms
IEPModel,723,0,2.240584ms
IEPModel,724,0,2.259458ms
IEPModel,725,0,2.287334ms
IEPModel,726,0,2.252416ms
IEPModel,727,0,2.237792ms
IEPModel,728,0,2.269333ms
IEPModel,729,0,2.28625ms
IEPModel,730,0,2.297084ms
IEPModel,731,0,2.287959ms
IEPModel,732,0,2.304542ms
IEPModel,733,0,2.342708ms
IEPModel,734,0,3.217ms
IEPModel,735,0,5.337041ms
IEPModel,736,0,4.343458ms
IEPModel,737,0,2.197333ms
IEPModel,738,0,2.238417ms
IEPModel,739,0,2.261209ms
IEPModel,740,0,2.238458ms
IEPModel,741,0,2.205542ms
IEPModel,742,0,2.270292ms
IEPModel,743,0,2.326209ms
IEPModel,744,0,2.248375ms
IEPModel,745,0,2.267ms
IEPModel,746,0,2.265833ms
IEPModel,747,0,2.239625ms
IEPModel,748,0,2.202209ms
IEPModel,749,0,2.231ms
IEPModel,750,0,2.297458ms
IEPModel,751,0,3.500667ms
IEPModel,752,0,5.197583ms
IEPModel,753,0,2.58525ms
IEPModel,754,0,2.586166ms
IEPModel,755,0,2.645125ms
IEPModel,756,0,2.609625ms
IEPModel,757,0,2.58925ms
IEPModel,758,0,2.636ms
IEPModel,759,0,2.623917ms
IEPModel,760,0,2.5985ms
IEPModel,761,0,2.533875ms
IEPModel,762,0,2.58525ms
IEPModel,763,0,2.204542ms
IEPModel,764,0,2.253084ms
IEPModel,765,0,2.273958ms
IEPModel,766,0,2.247334ms
IEPModel,767,0,2.074875ms
IEPModel,768,0,2.095167ms
IEPModel,769,0,2.139ms
IEPModel,770,0,2.132167ms
IEPModel,771,0,2.103417ms
IEPModel,772,0,2.137417ms
IEPModel,773,0,2.163542ms
IEPModel,774,0,2.203208ms
IEPModel,775,0,2.1195ms
IEPModel,776,0,2.197ms
IEPModel,777,0,2.23ms
IEPModel,778,0,2.252584ms
IEPModel,779,0,2.194958ms
IEPModel,780,0,2.186084ms
IEPModel,781,0,4.458875ms
IEPModel,782,0,5.450958ms
IEPModel,783,0,3.882208ms
IEPModel,784,0,2.305417ms
IEPModel,785,0,2.302125ms
IEPModel,786,0,2.226209ms
IEPModel,787,0,2.230916ms
IEPModel,788,0,2.213ms
IEPModel,789,0,2.188166ms
IEPModel,790,0,2.112792ms
IEPModel,791,0,4.419583ms
IEPModel,792,0,5.147542ms
IEPModel,793,0,3.531375ms
IEPModel,794,0,2.252375ms
IEPModel,795,0,2.260167ms
IEPModel,796,0,2.260208ms
IEPModel,797,0,2.266167ms
IEPModel,798,0,2.267625ms
IEPModel,799,0,2.242542ms
IEPModel,800,0,2.184459ms
IEPModel,801,0,2.233792ms
IEPModel,802,0,2.219125ms
IEPModel,803,0,2.255209ms
IEPModel,804,0,2.258292ms
IEPModel,805,0,2.292791ms
IEPModel,806,0,2.307916ms
IEPModel,807,0,2.299042ms
IEPModel,808,0,2.273375ms
IEPModel,809,0,2.255167ms
IEPModel,810,0,2.259333ms
IEPModel,811,0,2.302875ms
IEPModel,812,0,2.31ms
IEPModel,813,0,2.264625ms
IEPModel,814,0,2.298208ms
IEPModel,815,0,2.35ms
IEPModel,816,0,4.748083ms
IEPModel,817,0,5.503042ms
IEPModel,818,0,3.632459ms
IEPModel,819,0,2.553084ms
IEPModel,820,0,2.491542ms
IEPModel,821,0,2.420542ms
IEPModel,822,0,2.42625ms
IEPModel,823,0,2.44475ms
IEPModel,824,0,2.466292ms
IEPModel,825,0,2.465ms
IEPModel,826,0,2.517875ms
IEPModel,827,0,2.452333ms
IEPModel,828,0,2.459375ms
IEPModel,829,0,2.473625ms
